Ticket ID,Customer Query,Summary,Assigned Department,Action Type,Priority,Sentiment,Timestamp,Resolution_Steps,Complexity_Score,Resolution_Time_Actual
T10001,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,Medium,Negative,14-01-2024 02:55,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,81
T10002,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,23-05-2024 04:59,Provided link to pricing page. Confirmed service availability in their city.,4.12,25
T10003,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Resolve at L1,Low,Negative,30-06-2024 10:44,Updated credit card details on file. Confirmed next payment date. Closed issue.,7,27
T10004,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,05-04-2024 03:25,Answered question about operating hours. Closed ticket.,4.12,21
T10005,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Medium,Neutral,06-01-2024 22:47,Answered question about operating hours. Closed ticket.,4.12,27
T10006,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,Medium,Negative,30-08-2024 22:27,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,5.62,148
T10007,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Follow-Up,High,Neutral,24-02-2024 18:17,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,4.12,62
T10008,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,Low,Positive,17-09-2024 23:16,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,4.12,63
T10009,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Resolve at L1,Low,Neutral,19-05-2024 03:41,Provided link to FAQ on error code 403. Suggested reinstallation of the mobile application.,4.12,16
T10010,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Low,Positive,16-08-2024 02:09,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,75
T10011,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Follow-Up,Low,Neutral,01-03-2024 01:03,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,77
T10012,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,16-08-2024 21:25,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",8,74
T10013,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Escalate,High,Negative,30-10-2024 08:04,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,5.62,153
T10014,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Follow-Up,Low,Neutral,15-03-2024 02:34,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,72
T10015,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,High,Negative,31-03-2024 11:28,Cannot replicate user reported issue. Requested screen recording from customer.,5.62,79
T10016,Please deactivate my old account and delete all associated data. I will not be returning to your services.,Please deactivate my old account and delete all associated data. I will not be returning to your ser...,Account Management,Resolve at L1,Low,Negative,29-09-2024 15:48,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,5.62,20
T10017,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,Medium,Positive,18-06-2024 20:03,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,4.12,66
T10018,"The app shows an error code 500 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 500 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Escalate,Low,Neutral,03-06-2024 02:00,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,4.12,146
T10019,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,30-08-2024 11:32,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,7,162
T10020,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,25-06-2024 16:52,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,4.12,18
T10021,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,High,Negative,01-04-2024 15:43,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,5.62,71
T10022,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,Medium,Positive,11-11-2024 10:11,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,4.12,63
T10023,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,High,Negative,28-05-2024 12:26,Cannot replicate user reported issue. Requested screen recording from customer.,6.63,71
T10024,Do you offer services in the New York region or only nationally? I am checking availability.,Do you offer services in the New York region or only nationally? I am checking availability.,General Queries,Resolve at L1,Low,Neutral,17-06-2024 05:17,Answered question about operating hours. Closed ticket.,4.12,23
T10025,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Resolve at L1,High,Neutral,27-01-2024 20:26,Provided link to password reset tool. Confirmed access restored.,5.13,24
T10026,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Escalate,Low,Positive,07-12-2024 08:34,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,4.12,150
T10027,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,Medium,Positive,30-12-2024 13:48,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,4.12,75
T10028,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,High,Positive,23-01-2024 09:13,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,4.12,152
T10029,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,Medium,Negative,13-07-2024 10:22,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,71
T10030,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Resolve at L1,Medium,Negative,01-03-2024 15:36,Provided link to password reset tool. Confirmed access restored.,5.62,29
T10031,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,15-09-2024 07:33,Completed name change on account profile. Sent confirmation email.,4.12,33
T10032,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Follow-Up,Medium,Positive,16-04-2024 09:28,Cannot replicate user reported issue. Requested screen recording from customer.,4.12,78
T10033,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Resolve at L1,High,Neutral,10-07-2024 14:43,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,5.13,33
T10034,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,Medium,Positive,18-12-2024 05:14,Checked plan details and billing cycle. Explained fee structure. No further action required.,5.5,17
T10035,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,24-04-2024 18:13,Cannot replicate user reported issue. Requested screen recording from customer.,5.62,79
T10036,"My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon as possible.","My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon a...",Billing,Resolve at L1,High,Negative,21-12-2024 02:39,Checked plan details and billing cycle. Explained fee structure. No further action required.,7,35
T10037,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Resolve at L1,Low,Negative,04-01-2024 15:11,Updated credit card details on file. Confirmed next payment date. Closed issue.,7,22
T10038,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Escalate,High,Positive,15-11-2024 13:32,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,4.12,154
T10039,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Follow-Up,High,Neutral,29-07-2024 18:54,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.13,83
T10040,Do you offer services in the Berlin region or only nationally? I am checking availability.,Do you offer services in the Berlin region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,17-01-2024 23:46,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,78
T10041,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,General Queries,Follow-Up,Low,Negative,09-02-2024 14:28,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,5.62,70
T10042,"My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon as possible.","My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon a...",Billing,Resolve at L1,Low,Negative,09-01-2024 14:38,Updated credit card details on file. Confirmed next payment date. Closed issue.,7,19
T10043,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,Medium,Negative,02-04-2024 17:40,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,77
T10044,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,High,Positive,17-12-2024 02:59,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,4.12,69
T10045,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Follow-Up,High,Positive,15-05-2024 23:35,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,4.12,72
T10046,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Low,Negative,15-11-2024 08:57,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",7,84
T10047,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,Low,Negative,29-11-2024 11:26,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,87
T10048,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Escalate,High,Neutral,21-04-2024 21:38,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,5.13,150
