Ticket ID,Customer Query,Summary,Assigned Department,Action Type,Priority,Sentiment,Timestamp,Resolution_Steps,Resolution_Time_Actual,Complexity_Score
T18644,Do you offer services in the London region or only nationally? I am checking availability.,Do you offer services in the London region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,09-06-2024 03:59,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,864,5
T17866,Do you offer services in the Paris region or only nationally? I am checking availability.,Do you offer services in the Paris region or only nationally? I am checking availability.,General Queries,Escalate,Low,Neutral,28-12-2024 13:54,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,1153,5
T14525,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,Low,Positive,20-12-2024 16:16,Checked plan details and billing cycle. Explained fee structure. No further action required.,1033,5
T15260,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,High,Negative,16-12-2024 14:41,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,386,9
T15887,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,Medium,Negative,26-06-2024 20:14,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,399,9
T18723,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Resolve at L1,High,Positive,19-09-2024 18:20,Provided link to FAQ on error code 403. Suggested reinstallation of the mobile application.,82,6
T16643,Do you offer services in the Sydney region or only nationally? I am checking availability.,Do you offer services in the Sydney region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,06-12-2024 19:38,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1110,5
T16240,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,Medium,Negative,03-11-2024 10:23,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,418,9
T16489,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Escalate,Medium,Neutral,24-10-2024 15:26,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,330,5
T11733,I need a detailed copy of my invoice for the month of October.,I need a detailed copy of my invoice for the month of October.,Billing,Follow-Up,High,Neutral,09-06-2024 12:26,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,47,5
T18901,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,18-12-2024 14:24,Provided link to pricing page. Confirmed service availability in their city.,1154,5
T16814,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,11-10-2024 07:30,Provided link to pricing page. Confirmed service availability in their city.,1130,5
T15433,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Escalate,Medium,Neutral,30-09-2024 19:08,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,420,5
T12770,Do you offer services in the New York region or only nationally? I am checking availability.,Do you offer services in the New York region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,14-08-2024 21:20,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1119,5
T17704,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Low,Neutral,21-03-2024 12:24,Provided link to pricing page. Confirmed service availability in their city.,880,3
T15427,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,High,Negative,06-10-2024 01:52,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,73,9
T11309,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,07-06-2024 06:48,Completed name change on account profile. Sent confirmation email.,405,5
T10668,I need a detailed copy of my invoice for the month of March.,I need a detailed copy of my invoice for the month of March.,Billing,Follow-Up,Medium,Neutral,27-10-2024 16:36,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,352,5
T19024,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Escalate,High,Positive,15-06-2024 23:27,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,104,6
T14834,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,High,Neutral,28-03-2024 05:16,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,87,5
T11094,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,07-04-2024 17:52,Provided link to pricing page. Confirmed service availability in their city.,1161,6
T18501,I was overcharged by $137 this month. I need a refund immediately.,I was overcharged by $137 this month. I need a refund immediately.,Billing,Escalate,Low,Negative,30-01-2024 19:52,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,905,5
T17043,The new app features are fantastic! Great improvement to the user interface and functionality.,The new app features are fantastic! Great improvement to the user interface and functionality.,App Support,Escalate,Low,Positive,27-03-2024 06:38,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,857,6
T19837,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,High,Neutral,21-08-2024 05:18,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,65,5
T16199,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,High,Positive,07-07-2024 14:21,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,25,5
T13373,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Resolve at L1,Medium,Negative,01-06-2024 18:28,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,348,9
T19019,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,Low,Positive,21-12-2024 14:29,Sent required documentation for plan upgrade. Follow up in 48 hours if forms are not returned.,1129,5
T13141,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,13-09-2024 23:19,Cannot replicate user reported issue. Requested screen recording from customer.,451,9
T14343,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Follow-Up,Low,Negative,08-09-2024 19:31,Awaiting confirmation of address change from validation team. Contact customer for documentation.,1074,6
T11031,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Resolve at L1,Medium,Negative,10-08-2024 14:24,Provided link to password reset tool. Confirmed access restored.,339,9
T10282,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Escalate,Low,Positive,21-03-2024 04:42,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,846,5
T14091,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,19-10-2024 23:53,Cannot replicate user reported issue. Requested screen recording from customer.,263,9
T16684,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Escalate,High,Negative,09-08-2024 10:02,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,88,6
